user_id,email,signup_date,country,language,device_type,acquisition_channel
1,figueroajohn@example.org,2024-10-14,Saint Pierre and Miquelon,en,iOS,referral
2,garzaanthony@example.org,2023-09-17,Cuba,fr,iOS,organic
3,hoffmanjennifer@example.net,2023-12-22,Mayotte,de,Web,organic
4,zlawrence@example.org,2024-05-06,Senegal,en,Web,ads
5,jpeterson@example.org,2025-02-13,Serbia,en,iOS,organic
6,jamesmichael@example.com,2024-03-07,Netherlands,de,iOS,referral
7,blairamanda@example.com,2024-01-14,Belgium,en,Web,organic
8,barbara10@example.net,2024-08-11,Denmark,es,iOS,ads
9,wyattmichelle@example.com,2025-01-20,Fiji,fr,iOS,organic
10,francisco53@example.net,2024-05-31,Ethiopia,es,Android,ads
11,lynchgeorge@example.net,2024-11-29,Ecuador,de,iOS,ads
12,onelson@example.net,2023-11-01,Moldova,en,iOS,ads
13,megan03@example.org,2023-12-12,Sri Lanka,en,Android,ads
14,carl95@example.org,2024-02-20,Palau,fr,iOS,referral
15,ithomas@example.org,2024-07-03,Samoa,es,Web,organic
16,julie69@example.com,2024-08-18,Guyana,es,iOS,referral
17,williamdavis@example.org,2023-12-12,Tokelau,fr,Web,referral
18,laurahenderson@example.org,2023-09-23,Hungary,fr,Web,organic
19,jrice@example.org,2024-04-08,Pitcairn Islands,en,iOS,referral
20,kayla51@example.com,2024-12-12,Jordan,de,Android,organic
21,mckaynancy@example.com,2023-10-28,Macao,de,iOS,ads
22,harrellkenneth@example.net,2025-01-11,Madagascar,fr,Android,referral
23,nathanielmartin@example.net,2024-09-22,Uruguay,fr,iOS,ads
24,tracy15@example.com,2023-07-05,Dominican Republic,fr,iOS,referral
25,millertodd@example.org,2023-08-16,Senegal,fr,Web,referral
26,davidalvarez@example.net,2024-07-28,Chad,en,Web,referral
27,ibrandt@example.net,2024-01-14,Portugal,de,Web,referral
28,raymond57@example.net,2023-11-29,Korea,de,iOS,ads
29,calebsmith@example.net,2023-10-01,Denmark,es,Android,referral
30,jonescrystal@example.org,2024-09-07,Bangladesh,de,Web,ads
31,chad34@example.net,2025-04-26,Libyan Arab Jamahiriya,en,iOS,organic
32,jenniferkhan@example.net,2023-12-08,Lebanon,fr,Android,ads
33,maguirre@example.org,2023-12-29,Bhutan,en,iOS,referral
34,rodney70@example.net,2024-10-28,Palau,fr,iOS,referral
35,brownjessica@example.org,2025-06-23,Egypt,es,Android,referral
36,ltaylor@example.com,2023-11-22,Kyrgyz Republic,es,iOS,ads
37,ramosmichelle@example.net,2024-01-03,Bolivia,de,iOS,referral
38,novaksara@example.org,2023-08-10,Chad,fr,Web,referral
39,zlewis@example.org,2024-04-27,Chad,es,Web,ads
40,ybaker@example.com,2024-04-07,France,fr,iOS,organic
41,smoore@example.org,2024-05-09,Azerbaijan,es,iOS,organic
42,adkinsbrian@example.net,2024-08-31,Lesotho,en,iOS,referral
43,brianromero@example.org,2024-07-06,Bangladesh,de,Web,ads
44,richarddavid@example.net,2024-09-11,Egypt,en,Android,ads
45,harveyrobert@example.net,2024-08-31,Mongolia,es,Web,ads
46,james53@example.com,2024-07-21,Indonesia,en,Web,referral
47,stephen10@example.com,2023-10-08,Nigeria,en,Web,referral
48,jonesjason@example.com,2025-07-03,Bulgaria,fr,Web,ads
49,suarezmike@example.org,2025-05-17,Kazakhstan,en,Android,ads
50,cheryl80@example.net,2025-03-05,Svalbard & Jan Mayen Islands,de,Android,organic
51,mcmillandennis@example.org,2024-08-13,Tuvalu,fr,Web,organic
52,josephjacobs@example.net,2023-09-21,Guam,en,Web,ads
53,william40@example.org,2023-11-30,North Macedonia,de,iOS,ads
54,bradley52@example.net,2024-05-09,Estonia,de,Web,referral
55,barnold@example.net,2023-10-31,Algeria,en,Web,ads
56,amydavenport@example.net,2023-09-24,Micronesia,es,iOS,organic
57,bobbydiaz@example.org,2023-10-21,United Arab Emirates,fr,Android,organic
58,elizabethgomez@example.net,2024-03-22,Turks and Caicos Islands,en,iOS,referral
59,sarayoung@example.org,2025-04-04,South Georgia and the South Sandwich Islands,en,iOS,referral
60,vjohnson@example.com,2025-02-16,Slovenia,es,iOS,referral
61,josephcobb@example.org,2025-05-15,Hong Kong,de,iOS,referral
62,dwalker@example.com,2025-04-02,Gambia,es,Web,organic
63,jeffreykeller@example.com,2025-02-23,Greenland,fr,Web,referral
64,rasmussenjoshua@example.net,2024-01-24,Malawi,es,iOS,referral
65,sheila14@example.org,2024-04-22,Mozambique,de,Web,ads
66,benjamin96@example.com,2025-06-07,Saint Lucia,es,Web,referral
67,gobrien@example.org,2025-01-29,Hungary,fr,Android,referral
68,jonathanfletcher@example.org,2025-04-22,Mali,es,iOS,organic
69,michaeljones@example.net,2025-05-11,Uruguay,de,iOS,ads
70,elizabeth14@example.net,2024-03-02,Georgia,en,Web,referral
71,richard48@example.org,2024-11-03,Congo,de,Web,organic
72,lbyrd@example.net,2024-05-07,Montenegro,en,iOS,referral
73,torresjason@example.net,2024-02-09,New Caledonia,en,iOS,organic
74,rramos@example.org,2024-10-25,Malawi,en,Android,organic
75,donnacampbell@example.net,2024-06-14,North Macedonia,de,Android,referral
76,cardenaskaren@example.net,2024-09-29,Georgia,es,iOS,referral
77,dylanwilliams@example.com,2023-12-16,New Zealand,de,Web,referral
78,gibsonolivia@example.net,2025-03-17,Congo,es,iOS,ads
79,psnyder@example.org,2024-12-11,Palau,es,iOS,organic
80,osbornejeffery@example.net,2024-11-18,Maldives,en,Web,ads
81,samanthamartinez@example.org,2024-06-08,Spain,fr,Android,ads
82,stephanie79@example.net,2024-06-08,Uganda,es,Web,organic
83,vmerritt@example.com,2024-07-07,Korea,en,iOS,ads
84,maryramirez@example.net,2024-01-10,Libyan Arab Jamahiriya,fr,iOS,organic
85,scott43@example.com,2024-10-05,Grenada,de,iOS,referral
86,taylorjesse@example.net,2024-02-23,Cape Verde,es,iOS,ads
87,perrymark@example.com,2024-12-02,Israel,de,Android,ads
88,xprice@example.net,2023-08-19,Yemen,de,iOS,ads
89,wwoods@example.com,2024-11-24,Sao Tome and Principe,en,iOS,referral
90,vmedina@example.net,2024-04-15,South Georgia and the South Sandwich Islands,en,iOS,organic
91,tracynelson@example.com,2024-09-17,Antarctica (the territory South of 60 deg S),de,Android,ads
92,dramsey@example.org,2024-04-14,Nigeria,es,iOS,ads
93,qvargas@example.org,2024-07-29,Belize,en,iOS,ads
94,michellewhite@example.com,2024-10-16,Hong Kong,en,Android,ads
95,wmurphy@example.com,2024-02-29,Fiji,es,Android,ads
96,fking@example.com,2025-01-04,Andorra,es,iOS,organic
97,cookemichael@example.net,2025-01-02,Bangladesh,fr,iOS,organic
98,websterstefanie@example.org,2025-01-26,Taiwan,en,Web,ads
99,johnwells@example.org,2023-07-19,Mongolia,en,iOS,referral
100,xlyons@example.com,2025-05-27,Chad,es,Web,referral
