user_id,email,signup_date,country,language,device_type,acquisition_channel
1,figueroajohn@example.org,2024-10-12,Saint Pierre and Miquelon,en,iOS,referral
2,garzaanthony@example.org,2023-09-15,Cuba,fr,iOS,organic
3,hoffmanjennifer@example.net,2023-12-20,Mayotte,de,Web,organic
4,zlawrence@example.org,2024-05-04,Senegal,en,Web,ads
5,jpeterson@example.org,2025-02-11,Serbia,en,iOS,organic
6,jamesmichael@example.com,2024-03-05,Netherlands,de,iOS,referral
7,blairamanda@example.com,2024-01-12,Belgium,en,Web,organic
8,barbara10@example.net,2024-08-09,Denmark,es,iOS,ads
9,wyattmichelle@example.com,2025-01-18,Fiji,fr,iOS,organic
10,francisco53@example.net,2024-05-29,Ethiopia,es,Android,ads
11,lynchgeorge@example.net,2024-11-27,Ecuador,de,iOS,ads
12,onelson@example.net,2023-10-30,Moldova,en,iOS,ads
13,megan03@example.org,2023-12-10,Sri Lanka,en,Android,ads
14,carl95@example.org,2024-02-18,Palau,fr,iOS,referral
15,ithomas@example.org,2024-07-01,Samoa,es,Web,organic
16,julie69@example.com,2024-08-16,Guyana,es,iOS,referral
17,williamdavis@example.org,2023-12-10,Tokelau,fr,Web,referral
18,laurahenderson@example.org,2023-09-21,Hungary,fr,Web,organic
19,jrice@example.org,2024-04-06,Pitcairn Islands,en,iOS,referral
20,kayla51@example.com,2024-12-10,Jordan,de,Android,organic
21,mckaynancy@example.com,2023-10-26,Macao,de,iOS,ads
22,harrellkenneth@example.net,2025-01-09,Madagascar,fr,Android,referral
23,nathanielmartin@example.net,2024-09-20,Uruguay,fr,iOS,ads
24,tracy15@example.com,2023-07-03,Dominican Republic,fr,iOS,referral
25,millertodd@example.org,2023-08-14,Senegal,fr,Web,referral
26,davidalvarez@example.net,2024-07-26,Chad,en,Web,referral
27,ibrandt@example.net,2024-01-12,Portugal,de,Web,referral
28,raymond57@example.net,2023-11-27,Korea,de,iOS,ads
29,calebsmith@example.net,2023-09-29,Denmark,es,Android,referral
30,jonescrystal@example.org,2024-09-05,Bangladesh,de,Web,ads
31,chad34@example.net,2025-04-24,Libyan Arab Jamahiriya,en,iOS,organic
32,jenniferkhan@example.net,2023-12-06,Lebanon,fr,Android,ads
33,maguirre@example.org,2023-12-27,Bhutan,en,iOS,referral
34,rodney70@example.net,2024-10-26,Palau,fr,iOS,referral
35,brownjessica@example.org,2025-06-21,Egypt,es,Android,referral
36,ltaylor@example.com,2023-11-20,Kyrgyz Republic,es,iOS,ads
37,ramosmichelle@example.net,2024-01-01,Bolivia,de,iOS,referral
38,novaksara@example.org,2023-08-08,Chad,fr,Web,referral
39,zlewis@example.org,2024-04-25,Chad,es,Web,ads
40,ybaker@example.com,2024-04-05,France,fr,iOS,organic
41,smoore@example.org,2024-05-07,Azerbaijan,es,iOS,organic
42,adkinsbrian@example.net,2024-08-29,Lesotho,en,iOS,referral
43,brianromero@example.org,2024-07-04,Bangladesh,de,Web,ads
44,richarddavid@example.net,2024-09-09,Egypt,en,Android,ads
45,harveyrobert@example.net,2024-08-29,Mongolia,es,Web,ads
46,james53@example.com,2024-07-19,Indonesia,en,Web,referral
47,stephen10@example.com,2023-10-06,Nigeria,en,Web,referral
48,jonesjason@example.com,2025-07-01,Bulgaria,fr,Web,ads
49,suarezmike@example.org,2025-05-15,Kazakhstan,en,Android,ads
50,cheryl80@example.net,2025-03-03,Svalbard & Jan Mayen Islands,de,Android,organic
51,mcmillandennis@example.org,2024-08-11,Tuvalu,fr,Web,organic
52,josephjacobs@example.net,2023-09-19,Guam,en,Web,ads
53,william40@example.org,2023-11-28,North Macedonia,de,iOS,ads
54,bradley52@example.net,2024-05-07,Estonia,de,Web,referral
55,barnold@example.net,2023-10-29,Algeria,en,Web,ads
56,amydavenport@example.net,2023-09-22,Micronesia,es,iOS,organic
57,bobbydiaz@example.org,2023-10-19,United Arab Emirates,fr,Android,organic
58,elizabethgomez@example.net,2024-03-20,Turks and Caicos Islands,en,iOS,referral
59,sarayoung@example.org,2025-04-02,South Georgia and the South Sandwich Islands,en,iOS,referral
60,vjohnson@example.com,2025-02-14,Slovenia,es,iOS,referral
61,josephcobb@example.org,2025-05-13,Hong Kong,de,iOS,referral
62,dwalker@example.com,2025-03-31,Gambia,es,Web,organic
63,jeffreykeller@example.com,2025-02-21,Greenland,fr,Web,referral
64,rasmussenjoshua@example.net,2024-01-22,Malawi,es,iOS,referral
65,sheila14@example.org,2024-04-20,Mozambique,de,Web,ads
66,benjamin96@example.com,2025-06-05,Saint Lucia,es,Web,referral
67,gobrien@example.org,2025-01-27,Hungary,fr,Android,referral
68,jonathanfletcher@example.org,2025-04-20,Mali,es,iOS,organic
69,michaeljones@example.net,2025-05-09,Uruguay,de,iOS,ads
70,elizabeth14@example.net,2024-02-29,Georgia,en,Web,referral
71,richard48@example.org,2024-11-01,Congo,de,Web,organic
72,lbyrd@example.net,2024-05-05,Montenegro,en,iOS,referral
73,torresjason@example.net,2024-02-07,New Caledonia,en,iOS,organic
74,rramos@example.org,2024-10-23,Malawi,en,Android,organic
75,donnacampbell@example.net,2024-06-12,North Macedonia,de,Android,referral
76,cardenaskaren@example.net,2024-09-27,Georgia,es,iOS,referral
77,dylanwilliams@example.com,2023-12-14,New Zealand,de,Web,referral
78,gibsonolivia@example.net,2025-03-15,Congo,es,iOS,ads
79,psnyder@example.org,2024-12-09,Palau,es,iOS,organic
80,osbornejeffery@example.net,2024-11-16,Maldives,en,Web,ads
81,samanthamartinez@example.org,2024-06-06,Spain,fr,Android,ads
82,stephanie79@example.net,2024-06-06,Uganda,es,Web,organic
83,vmerritt@example.com,2024-07-05,Korea,en,iOS,ads
84,maryramirez@example.net,2024-01-08,Libyan Arab Jamahiriya,fr,iOS,organic
85,scott43@example.com,2024-10-03,Grenada,de,iOS,referral
86,taylorjesse@example.net,2024-02-21,Cape Verde,es,iOS,ads
87,perrymark@example.com,2024-11-30,Israel,de,Android,ads
88,xprice@example.net,2023-08-17,Yemen,de,iOS,ads
89,wwoods@example.com,2024-11-22,Sao Tome and Principe,en,iOS,referral
90,vmedina@example.net,2024-04-13,South Georgia and the South Sandwich Islands,en,iOS,organic
91,tracynelson@example.com,2024-09-15,Antarctica (the territory South of 60 deg S),de,Android,ads
92,dramsey@example.org,2024-04-12,Nigeria,es,iOS,ads
93,qvargas@example.org,2024-07-27,Belize,en,iOS,ads
94,michellewhite@example.com,2024-10-14,Hong Kong,en,Android,ads
95,wmurphy@example.com,2024-02-27,Fiji,es,Android,ads
96,fking@example.com,2025-01-02,Andorra,es,iOS,organic
97,cookemichael@example.net,2024-12-31,Bangladesh,fr,iOS,organic
98,websterstefanie@example.org,2025-01-24,Taiwan,en,Web,ads
99,johnwells@example.org,2023-07-17,Mongolia,en,iOS,referral
100,xlyons@example.com,2025-05-25,Chad,es,Web,referral
101,stricklandfrank@example.com,2024-09-17,Botswana,de,iOS,referral
102,barbara66@example.net,2024-08-29,Congo,en,iOS,organic
103,curtisbarton@example.net,2023-08-27,Netherlands Antilles,en,Web,organic
104,reedross@example.com,2025-02-10,Bangladesh,es,iOS,referral
105,alexander67@example.org,2024-07-06,Jersey,de,Web,referral
106,bzimmerman@example.org,2025-06-04,Saint Martin,en,Web,organic
107,christina87@example.com,2024-07-18,Jordan,es,Web,referral
108,marcus31@example.com,2025-02-25,Turkmenistan,fr,Android,organic
109,qhudson@example.com,2024-05-27,Guadeloupe,fr,iOS,ads
110,hunter35@example.com,2023-07-23,Guam,es,iOS,referral
111,angela83@example.org,2024-01-23,Dominican Republic,fr,Android,ads
112,ppeters@example.net,2024-12-10,Lebanon,en,iOS,ads
113,bwest@example.org,2024-10-17,French Polynesia,en,iOS,referral
114,kevinperkins@example.com,2023-12-11,Micronesia,de,Web,ads
115,jbarajas@example.com,2024-07-25,Guinea,de,Android,organic
116,kristopher31@example.net,2024-11-27,Congo,de,Android,ads
117,jamesrodgers@example.com,2024-02-18,Saint Kitts and Nevis,de,Android,referral
118,tina34@example.org,2024-09-05,Guyana,fr,Web,referral
119,ericksondavid@example.org,2023-11-11,Austria,en,Web,referral
120,danamullins@example.org,2024-08-10,Tunisia,fr,Web,organic
121,taylor75@example.org,2023-07-11,Austria,de,Android,organic
122,ewilson@example.com,2024-01-03,Liechtenstein,en,Web,referral
123,hernandezlisa@example.com,2023-08-26,Belize,de,Android,ads
124,grantrobert@example.net,2025-06-28,Somalia,de,Web,ads
125,chayes@example.com,2024-09-27,Tokelau,de,Web,referral
126,ntorres@example.org,2024-09-05,New Zealand,fr,Web,ads
127,mezajared@example.org,2025-06-03,Estonia,fr,iOS,organic
128,johnarnold@example.org,2024-10-27,Afghanistan,es,Android,organic
